epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8063,0.02076,2.61459,1.30235,0.02651,0.11175,0.02992,0.01038,0.02117,2.72267,1.13417,0.000659933,0.000659933,0.000659933
2,136.694,0.02025,2.09245,1.25785,0.19078,0.10569,0.06149,0.02001,0.02095,2.07609,1.20871,0.00130033,0.00130033,0.00130033
3,202.77,0.02028,1.96183,1.25487,0.18417,0.12443,0.06722,0.01973,0.02186,2.00262,1.20581,0.00191433,0.00191433,0.00191433
4,268.644,0.02024,1.92918,1.24268,0.2345,0.14307,0.09812,0.03061,0.02078,1.75238,1.12872,0.0018812,0.0018812,0.0018812
5,334.823,0.01977,1.83364,1.23158,0.1862,0.12342,0.07051,0.01952,0.02173,1.79708,1.11183,0.0018416,0.0018416,0.0018416
6,402.651,0.01973,1.83268,1.23839,0.22124,0.13609,0.08915,0.02631,0.02111,1.87231,1.12325,0.001802,0.001802,0.001802
7,471.403,0.01965,1.81615,1.21232,0.24783,0.15115,0.10277,0.03134,0.02041,1.68428,1.11504,0.0017624,0.0017624,0.0017624
8,536.939,0.01939,1.76826,1.22073,0.2493,0.13287,0.09781,0.03279,0.02012,1.61658,1.15963,0.0017228,0.0017228,0.0017228
9,602.024,0.01955,1.76364,1.19994,0.26106,0.15895,0.11801,0.03611,0.01988,1.58685,1.09208,0.0016832,0.0016832,0.0016832
10,666.505,0.01897,1.72199,1.19935,0.25835,0.16061,0.12156,0.03699,0.02012,1.65728,1.12862,0.0016436,0.0016436,0.0016436
11,738.657,0.01931,1.72793,1.19757,0.24687,0.15702,0.11184,0.03473,0.01996,1.57721,1.08441,0.001604,0.001604,0.001604
12,803.94,0.01893,1.6645,1.1834,0.29883,0.16905,0.13592,0.0425,0.01938,1.49137,1.08579,0.0015644,0.0015644,0.0015644
13,869.088,0.01891,1.65401,1.18128,0.30561,0.16829,0.14121,0.04416,0.0193,1.52514,1.07259,0.0015248,0.0015248,0.0015248
14,937.038,0.01885,1.6819,1.19193,0.26602,0.16217,0.1233,0.0383,0.0194,1.48437,1.07105,0.0014852,0.0014852,0.0014852
15,1002.13,0.01849,1.6453,1.19813,0.27063,0.16088,0.12037,0.03687,0.01991,1.52835,1.09514,0.0014456,0.0014456,0.0014456
16,1067.45,0.01865,1.61606,1.16842,0.29948,0.1686,0.13353,0.04267,0.01913,1.45995,1.09399,0.001406,0.001406,0.001406
17,1133.46,0.01857,1.62584,1.17271,0.30369,0.1741,0.14507,0.0471,0.01891,1.45565,1.05861,0.0013664,0.0013664,0.0013664
18,1198.88,0.01859,1.596,1.16652,0.26171,0.16327,0.12361,0.03886,0.01958,1.50729,1.07654,0.0013268,0.0013268,0.0013268
19,1263.78,0.01841,1.61004,1.17239,0.29685,0.18007,0.14659,0.04688,0.01889,1.46376,1.06429,0.0012872,0.0012872,0.0012872
20,1329.49,0.01834,1.58052,1.16449,0.29558,0.1686,0.13575,0.0438,0.01885,1.42299,1.06776,0.0012476,0.0012476,0.0012476
